Time,Time Elaps,Type,Packet Number,Size
227141119,183,PacketSent,12,28,152,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 16', 'missing_packets: []', 'delta_time_largest_observed_us: 294', 'received_packet_times: []']]"
227141119,183,PacketReceived,17,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 6158']]"
227141119,183,PacketReceived,18,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 7391']]"
227141120,184,PacketSent,13,28,151,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 18', 'missing_packets: []', 'delta_time_largest_observed_us: 504', 'received_packet_times: []']]"
227141123,187,PacketReceived,19,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 8624']]"
227141124,188,PacketReceived,20,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 9857']]"
227141126,190,PacketSent,14,28,145,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 20', 'missing_packets: []', 'delta_time_largest_observed_us: 1622', 'received_packet_times: []']]"
227141129,193,PacketReceived,21,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 11090']]"
227141130,194,PacketReceived,22,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 12323']]"
227141131,195,PacketSent,15,28,140,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 22', 'missing_packets: []', 'delta_time_largest_observed_us: 374', 'received_packet_times: []']]"
227141131,195,PacketReceived,23,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 13556']]"
227141131,195,PacketReceived,24,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 14789']]"
227141132,196,PacketSent,16,28,139,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 24', 'missing_packets: []', 'delta_time_largest_observed_us: 322', 'received_packet_times: []']]"
227141133,197,PacketReceived,25,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 16022']]"
227141135,199,PacketReceived,26,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 17255']]"
227141135,199,PacketSent,17,28,136,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 26', 'missing_packets: []', 'delta_time_largest_observed_us: 259', 'received_packet_times: []']]"
227141136,200,PacketReceived,27,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 18488']]"
227141136,200,PacketReceived,28,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 19721']]"
227141138,202,PacketSent,18,28,133,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 28', 'missing_packets: []', 'delta_time_largest_observed_us: 1420', 'received_packet_times: []']]"
227141139,203,PacketReceived,29,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 20954']]"
227141158,222,PacketReceived,30,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 22187']]"
227141158,222,PacketSent,19,28,113,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 30', 'missing_packets: []', 'delta_time_largest_observed_us: 344', 'received_packet_times: []']]"
227141159,223,PacketReceived,31,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 23420']]"
227141162,226,PacketReceived,32,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 24653']]"
227141162,226,PacketSent,20,28,109,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 32', 'missing_packets: []', 'delta_time_largest_observed_us: 348', 'received_packet_times: []']]"
227141163,227,PacketReceived,33,1252,10.0.228.164:443,172.19.19.121:40635,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 25886']]"
