Time,Time Elaps,Type,Packet Number,Size
322878403,11,PacketSent,1,1350,17,0.501,NOT_RETRANSMISSION,"[['STREAM', 'send', 1, 'length: 1024', 'offset: 0']]"
322878416,24,PacketReceived,1,270,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 1, 'length: 245', 'offset: 0']]"
322878420,28,PacketSent,2,1350,13,0.033,NOT_RETRANSMISSION,"[['STREAM', 'send', 1, 'length: 1024', 'offset: 1024']]"
322878420,28,PacketReceived,2,29,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 1', 'missing_packets: []', 'delta_time_largest_observed_us: 501', 'received_packet_times: []']]"
322878433,41,PacketReceived,3,29,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 2', 'missing_packets: []', 'delta_time_largest_observed_us: 33', 'received_packet_times: []']]"
322878438,46,PacketReceived,4,1200,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 1, 'length: 1173', 'offset: 245']]"
322878438,46,PacketSent,3,28,127,14.744,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 4', 'missing_packets: []', 'delta_time_largest_observed_us: 383', 'received_packet_times: []']]"
322878439,47,PacketReceived,5,1200,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 1, 'length: 1173', 'offset: 1418']]"
322878439,47,PacketReceived,6,72,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 1, 'length: 45', 'offset: 2591']]"
322878443,51,PacketSent,4,28,122,14.744,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 6', 'missing_packets: []', 'delta_time_largest_observed_us: 3302', 'received_packet_times: []']]"
322878517,125,PacketSent,5,1350,48,14.744,NOT_RETRANSMISSION,"[['STREAM', 'send', 1, 'length: 1024', 'offset: 2048']]"
322878521,129,PacketSent,6,156,44,14.744,NOT_RETRANSMISSION,"[['STREAM', 'send', 3, 'length: 132', 'offset: 0', [322878520, 5434, 'QUIC_CHROMIUM_CLIENT_STREAM_SEND_REQUEST_HEADERS', 9, 'QUIC_SESSION', '{""params"": {""headers"": ["":method: GET"", "":authority: info.snomile.ink"", "":scheme: https"", "":path: /server.log"", ""user-agent: com.startimes.cronet_localsample/1 (Linux; U; Android 6.0.1; zh_CN; SM-N9100; Build/MMB29M; Cronet/80.0.3956.0)"", ""accept-encoding: gzip, deflate""], ""quic_priority"": 1, ""quic_stream_id"": 5}, ""phase"": 0}']]]"
322878522,130,PacketReceived,7,215,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 1, 'length: 156', 'offset: 2636']]"
322878525,133,PacketSent,7,28,40,14.744,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 7', 'missing_packets: []', 'delta_time_largest_observed_us: 2533', 'received_packet_times: []']]"
322878565,173,PacketReceived,8,27,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['ACK', 'receive', 'N/A', 'largest_observed: 7', 'missing_packets: [6]', 'delta_time_largest_observed_us: 14744', 'received_packet_times: []']]"
322878565,173,PacketSent,8,156,19,1.158,LOSS_RETRANSMISSION,"[['STREAM', 'send', 3, 'length: 132', 'offset: 0']]"
322878576,184,PacketReceived,9,202,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 3, 'length: 185', 'offset: 0']]"
322878577,185,PacketReceived,10,1252,10.0.228.164:443,172.19.19.121:40399,0,0,0,"[['STREAM', 'receive', 5, 'length: 1235', 'offset: 0']]"
322878578,186,PacketSent,9,28,0,0,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 10', 'missing_packets: []', 'delta_time_largest_observed_us: 485', 'received_packet_times: []']]"
