time,time_elaps,event_type,source_id,source_type,phase,source_dependency_id,source_dependency_type,other_data
322878395,5309,HTTP_CACHE_GET_BACKEND,3,URL_REQUEST,PHASE_END,N/A,N/A,"{""phase"": 2}"
322878395,5309,HTTP_STREAM_JOB_CONTROLLER,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_BEGIN,N/A,N/A,"{""params"": {""is_preconnect"": false, ""url"": ""https://info.snomile.ink/server.log""}, ""phase"": 1}"
322878395,5309,HTTP_STREAM_REQUEST,3,URL_REQUEST,PHASE_BEGIN,N/A,N/A,"{""phase"": 1}"
322878395,5309,HTTP_STREAM_JOB_CONTROLLER_BOUND,3,URL_REQUEST,PHASE_NONE,4,HTTP_STREAM_JOB_CONTROLLER,"{""params"": {}, ""phase"": 0}"
322878396,5310,HTTP_STREAM_JOB_CONTROLLER_BOUND,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_NONE,3,URL_REQUEST,"{""params"": {}, ""phase"": 0}"
322878396,5310,PROXY_RESOLUTION_SERVICE,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_BEGIN,N/A,N/A,"{""phase"": 1}"
322878396,5310,PROXY_CONFIG_CHANGED,5,NONE,PHASE_NONE,N/A,N/A,"{""params"": {""new_config"": {}}, ""phase"": 0}"
322878396,5310,PROXY_RESOLUTION_SERVICE_RESOLVED_PROXY_LIST,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_NONE,N/A,N/A,"{""params"": {""pac_string"": ""DIRECT""}, ""phase"": 0}"
322878396,5310,PROXY_RESOLUTION_SERVICE,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_END,N/A,N/A,"{""phase"": 2}"
322878396,5310,HTTP_STREAM_JOB_CONTROLLER_PROXY_SERVER_RESOLVED,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_NONE,N/A,N/A,"{""params"": {""proxy_server"": ""DIRECT""}, ""phase"": 0}"
322878396,5310,HTTP_STREAM_JOB,6,HTTP_STREAM_JOB,PHASE_BEGIN,4,HTTP_STREAM_JOB_CONTROLLER,"{""params"": {""expect_spdy"": false, ""original_url"": ""https://info.snomile.ink/"", ""priority"": ""MEDIUM"", ""url"": ""https://info.snomile.ink/"", ""using_quic"": true}, ""phase"": 1}"
322878396,5310,HTTP_STREAM_REQUEST_STARTED_JOB,4,HTTP_STREAM_JOB_CONTROLLER,PHASE_NONE,6,HTTP_STREAM_JOB,"{""params"": {}, ""phase"": 0}"
322878396,5310,HTTP_STREAM_JOB_WAITING,6,HTTP_STREAM_JOB,PHASE_BEGIN,N/A,N/A,"{""params"": {""should_wait"": false}, ""phase"": 1}"
322878396,5310,HTTP_STREAM_JOB_WAITING,6,HTTP_STREAM_JOB,PHASE_END,N/A,N/A,"{""phase"": 2}"
322878396,5310,HTTP_STREAM_JOB_INIT_CONNECTION,6,HTTP_STREAM_JOB,PHASE_BEGIN,N/A,N/A,"{""phase"": 1}"
322878397,5311,QUIC_STREAM_FACTORY_JOB,7,QUIC_STREAM_FACTORY_JOB,PHASE_BEGIN,N/A,N/A,"{""params"": {""server_id"": ""https://info.snomile.ink:443""}, ""phase"": 1}"
322878397,5311,QUIC_STREAM_FACTORY_JOB_BOUND_TO_HTTP_STREAM_JOB,7,QUIC_STREAM_FACTORY_JOB,PHASE_NONE,6,HTTP_STREAM_JOB,"{""params"": {}, ""phase"": 0}"
322878397,5311,HTTP_STREAM_JOB_BOUND_TO_QUIC_STREAM_FACTORY_JOB,6,HTTP_STREAM_JOB,PHASE_NONE,7,QUIC_STREAM_FACTORY_JOB,"{""params"": {}, ""phase"": 0}"
322878397,5311,HOST_RESOLVER_IMPL_REQUEST,7,QUIC_STREAM_FACTORY_JOB,PHASE_BEGIN,N/A,N/A,"{""params"": {""address_family"": 0, ""allow_cached_response"": true, ""host"": ""10.0.228.164:443"", ""is_speculative"": false}, ""phase"": 1}"
322878398,5312,HOST_RESOLVER_IMPL_REQUEST,7,QUIC_STREAM_FACTORY_JOB,PHASE_END,N/A,N/A,"{""phase"": 2}"
322878398,5312,QUIC_STREAM_FACTORY_JOB_CONNECT,7,QUIC_STREAM_FACTORY_JOB,PHASE_BEGIN,N/A,N/A,"{""params"": {""require_confirmation"": false}, ""phase"": 1}"
322878398,5312,SOCKET_ALIVE,8,UDP_SOCKET,PHASE_BEGIN,7,QUIC_STREAM_FACTORY_JOB,"{""params"": {}, ""phase"": 1}"
322878398,5312,UDP_CONNECT,8,UDP_SOCKET,PHASE_BEGIN,N/A,N/A,"{""params"": {""address"": ""10.0.228.164:443""}, ""phase"": 1}"
322878400,5314,UDP_CONNECT,8,UDP_SOCKET,PHASE_END,N/A,N/A,"{""phase"": 2}"
322878400,5314,UDP_LOCAL_ADDRESS,8,UDP_SOCKET,PHASE_NONE,N/A,N/A,"{""params"": {""address"": ""172.19.19.121:40399""}, ""phase"": 0}"
322878401,5315,QUIC_SESSION,9,QUIC_SESSION,PHASE_BEGIN,N/A,N/A,"{""params"": {""cert_verify_flags"": 0, ""host"": ""info.snomile.ink"", ""port"": 443, ""privacy_mode"": false, ""require_confirmation"": true}, ""phase"": 1}"
322878402,5316,QUIC_SESSION_CRYPTO_HANDSHAKE_MESSAGE_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""quic_crypto_handshake_message"": ""CHLO<\n  SNI : \""info.snomile.ink\""\n  VER : 'Q043'\n  CCS : 0x01e8816092921ae87eed8086a2158291\n  UAID: \""com.startimes.cronet_localsample Cronet/80.0.3956.0\""\n  TCID: 0\n  PDMD: 'X509'\n  SMHL: 0x01000000\n  ICSL: 30\n  NONP: 0xd198a57af875db7b7d54fbda8fbc987825e8b83b2a0962ce1e433f5a7fce56cc\n  MIDS: 100\n  SCLS: 1\n  CSCT: 0x\n  COPT: 'NSTP'\n  CFCW: 15728640\n  SFCW: 6291456\n>""}, ""phase"": 0}"
322878402,5316,QUIC_SESSION_STREAM_FRAME_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""fin"": false, ""length"": 1024, ""offset"": 0, ""stream_id"": 1}, ""phase"": 0}"
322878402,5316,QUIC_SESSION_PADDING_FRAME_SENT,9,QUIC_SESSION,PHASE_NONE,N/A,N/A,"{""params"": {""num_padding_bytes"": -1}, ""phase"": 0}"
