Time,Time Elaps,Type,Packet Number,Size
322848167,1497,PacketReceived,19,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 4934']]"
322848167,1497,PacketSent,15,28,2267,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 19', 'missing_packets: []', 'delta_time_largest_observed_us: 373', 'received_packet_times: []']]"
322848167,1497,PacketReceived,20,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 6167']]"
322848168,1498,PacketReceived,21,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 7400']]"
322848169,1499,PacketSent,16,28,2265,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 21', 'missing_packets: []', 'delta_time_largest_observed_us: 358', 'received_packet_times: []']]"
322848169,1499,PacketReceived,22,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 8633']]"
322848181,1511,PacketReceived,23,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 9866']]"
322848187,1517,PacketSent,17,28,2247,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 23', 'missing_packets: []', 'delta_time_largest_observed_us: 8480', 'received_packet_times: []']]"
322848188,1518,PacketReceived,24,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 11099']]"
322848191,1521,PacketReceived,25,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 12332']]"
322848193,1523,PacketSent,18,28,2241,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 25', 'missing_packets: []', 'delta_time_largest_observed_us: 2007', 'received_packet_times: []']]"
322848193,1523,PacketReceived,26,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 13565']]"
322848194,1524,PacketReceived,27,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 14798']]"
322848195,1525,PacketSent,19,28,2239,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 27', 'missing_packets: []', 'delta_time_largest_observed_us: 373', 'received_packet_times: []']]"
322848195,1525,PacketReceived,28,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 16031']]"
322848197,1527,PacketReceived,29,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 17264']]"
322848198,1528,PacketSent,20,28,2236,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 29', 'missing_packets: []', 'delta_time_largest_observed_us: 417', 'received_packet_times: []']]"
322848199,1529,PacketReceived,30,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 18497']]"
322848200,1530,PacketReceived,31,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 19730']]"
322848201,1531,PacketSent,21,28,2233,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 31', 'missing_packets: []', 'delta_time_largest_observed_us: 597', 'received_packet_times: []']]"
322848203,1533,PacketReceived,32,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 20963']]"
322848205,1535,PacketReceived,33,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 22196']]"
322848205,1535,PacketSent,22,28,2229,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 33', 'missing_packets: []', 'delta_time_largest_observed_us: 332', 'received_packet_times: []']]"
322848205,1535,PacketReceived,34,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 23429']]"
322848208,1538,PacketReceived,35,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 24662']]"
322848209,1539,PacketSent,23,28,2225,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 35', 'missing_packets: []', 'delta_time_largest_observed_us: 579', 'received_packet_times: []']]"
322848211,1541,PacketReceived,36,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 25895']]"
322848212,1542,PacketReceived,37,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 27128']]"
322848213,1543,PacketSent,24,28,2221,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 37', 'missing_packets: []', 'delta_time_largest_observed_us: 518', 'received_packet_times: []']]"
322848215,1545,PacketReceived,38,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 28361']]"
322848216,1546,PacketReceived,39,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 29594']]"
322848216,1546,PacketSent,25,28,2218,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 39', 'missing_packets: []', 'delta_time_largest_observed_us: 297', 'received_packet_times: []']]"
322848216,1546,PacketReceived,40,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 30827']]"
322848219,1549,PacketReceived,41,727,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 708', 'offset: 32060']]"
322848219,1549,PacketSent,26,28,2215,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 41', 'missing_packets: []', 'delta_time_largest_observed_us: 288', 'received_packet_times: []']]"
322848221,1551,PacketReceived,42,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 32768']]"
322848223,1553,PacketReceived,43,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 34001']]"
322848224,1554,PacketSent,27,28,2210,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 43', 'missing_packets: []', 'delta_time_largest_observed_us: 484', 'received_packet_times: []']]"
322848226,1556,PacketReceived,44,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 35234']]"
322848226,1556,PacketReceived,45,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1233', 'offset: 36467']]"
322848227,1557,PacketSent,28,28,2207,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 45', 'missing_packets: []', 'delta_time_largest_observed_us: 268', 'received_packet_times: []']]"
322848227,1557,PacketReceived,46,945,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 926', 'offset: 37700']]"
322848229,1559,PacketReceived,47,19,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 0', 'offset: 38626']]"
322848230,1560,PacketSent,29,28,2204,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 47', 'missing_packets: []', 'delta_time_largest_observed_us: 602', 'received_packet_times: []']]"
322848234,1564,PacketReceived,48,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1230', 'offset: 8633']]"
322848234,1564,PacketReceived,49,25,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 3', 'offset: 9863']]"
322848235,1565,PacketSent,30,28,2199,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 49', 'missing_packets: []', 'delta_time_largest_observed_us: 407', 'received_packet_times: []']]"
322848266,1596,PacketReceived,50,1252,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 1230', 'offset: 25895']]"
322848267,1597,PacketReceived,51,25,10.0.228.164:443,172.19.19.121:45998,0,0,0,"[['STREAM', 'receive', 5, 'length: 3', 'offset: 27125']]"
322848269,1599,PacketSent,31,28,2165,25.24,NOT_RETRANSMISSION,"[['ACK', 'send', 'N/A', 'largest_observed: 51', 'missing_packets: []', 'delta_time_largest_observed_us: 810', 'received_packet_times: []']]"
