Time,Time Elaps,Type,Packet Number,Size
87731188,1472,PacketSent,17,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 11918']]"
87731188,1472,PacketSent,18,1350,86,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 13242']]"
87731194,1478,PacketSent,19,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 3, 'length: 185', 'offset: 513', [87731190, 4310, 'QUIC_CHROMIUM_CLIENT_STREAM_SEND_REQUEST_HEADERS', 16, 'QUIC_SESSION', '{""params"": {""headers"": ["":method: POST"", "":authority: quic.snomile.ink.mk1020.com"", "":scheme: https"", "":path: /upload"", ""content-length: 5922383"", ""pragma: no-cache"", ""cache-control: no-cache"", ""origin: https://quic.snomile.ink.mk1020.com"", ""user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/80.0.3966.0 Safari/537.36"", ""content-type: multipart/form-data; boundary=----WebKitFormBoundaryKwzbA3PK1WaBsimp"", ""accept: */*"", ""sec-fetch-site: same-origin"", ""sec-fetch-mode: cors"", ""referer: https://quic.snomile.ink.mk1020.com/"", ""accept-encoding: gzip, deflate, br""], ""quic_priority"": 1, ""quic_stream_id"": 9}, ""phase"": 0}'], [87731193, 4313, 'QUIC_CHROMIUM_CLIENT_STREAM_SEND_REQUEST_HEADERS', 16, 'QUIC_SESSION', '{""params"": {""headers"": ["":method: POST"", "":authority: quic.snomile.ink.mk1020.com"", "":scheme: https"", "":path: /upload"", ""content-length: 5922383"", ""pragma: no-cache"", ""cache-control: no-cache"", ""origin: https://quic.snomile.ink.mk1020.com"", ""user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/80.0.3966.0 Safari/537.36"", ""content-type: multipart/form-data; boundary=----WebKitFormBoundaryXXpTFXTGpUw7Sv1X"", ""accept: */*"", ""sec-fetch-site: same-origin"", ""sec-fetch-mode: cors"", ""referer: https://quic.snomile.ink.mk1020.com/"", ""accept-encoding: gzip, deflate, br""], ""quic_priority"": 1, ""quic_stream_id"": 11}, ""phase"": 0}']], ['STREAM', 'send', 7, 'length: 1133', 'offset: 14566']]"
87731195,1479,PacketSent,20,1350,84,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 15699']]"
87731195,1479,PacketSent,21,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 17023']]"
87731195,1479,PacketSent,22,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 18347']]"
87731200,1484,PacketSent,23,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 3, 'length: 185', 'offset: 698', [87731197, 4317, 'QUIC_CHROMIUM_CLIENT_STREAM_SEND_REQUEST_HEADERS', 16, 'QUIC_SESSION', '{""params"": {""headers"": ["":method: POST"", "":authority: quic.snomile.ink.mk1020.com"", "":scheme: https"", "":path: /upload"", ""content-length: 5922383"", ""pragma: no-cache"", ""cache-control: no-cache"", ""origin: https://quic.snomile.ink.mk1020.com"", ""user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/80.0.3966.0 Safari/537.36"", ""content-type: multipart/form-data; boundary=----WebKitFormBoundary9MOlBtCCQphJDjoy"", ""accept: */*"", ""sec-fetch-site: same-origin"", ""sec-fetch-mode: cors"", ""referer: https://quic.snomile.ink.mk1020.com/"", ""accept-encoding: gzip, deflate, br""], ""quic_priority"": 1, ""quic_stream_id"": 13}, ""phase"": 0}'], [87731197, 4317, 'QUIC_CHROMIUM_CLIENT_STREAM_SEND_REQUEST_HEADERS', 16, 'QUIC_SESSION', '{""params"": {""headers"": ["":method: POST"", "":authority: quic.snomile.ink.mk1020.com"", "":scheme: https"", "":path: /upload"", ""content-length: 5922383"", ""pragma: no-cache"", ""cache-control: no-cache"", ""origin: https://quic.snomile.ink.mk1020.com"", ""user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/80.0.3966.0 Safari/537.36"", ""content-type: multipart/form-data; boundary=----WebKitFormBoundaryY63aWBkFsUrUPCIH"", ""accept: */*"", ""sec-fetch-site: same-origin"", ""sec-fetch-mode: cors"", ""referer: https://quic.snomile.ink.mk1020.com/"", ""accept-encoding: gzip, deflate, br""], ""quic_priority"": 1, ""quic_stream_id"": 15}, ""phase"": 0}']], ['STREAM', 'send', 7, 'length: 1133', 'offset: 19671']]"
87731200,1484,PacketSent,24,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 20804']]"
87731200,1484,PacketSent,25,1350,85,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 22128']]"
87731201,1485,PacketSent,26,1350,88,NOT_RETRANSMISSION,"[['STREAM', 'send', 7, 'length: 1324', 'offset: 23452']]"
